Name,Profile URL,Keywords Found
Andrew Shockney,https://fisher.osu.edu/people/shockney.1,"AI, data"
Heidi Shull,https://fisher.osu.edu/people/shull.87,"AI, data"
Ewa Sletten,https://fisher.osu.edu/people/sletten.2,"AI, data"
Eric Smith,https://fisher.osu.edu/people/smith.709,"AI, data"
Ivan Smith,https://fisher.osu.edu/people/smith.1214,"AI, data"
Marc Smith,https://fisher.osu.edu/people/smith.2126,"AI, software, data"
Anníbal Sodero,https://fisher.osu.edu/people/sodero.1,"technology, AI, software, data"
Robin Soster,https://fisher.osu.edu/people/soster.4,"AI, data"
Eric Spires,https://fisher.osu.edu/people/spires.1,"AI, data"
Kannan Srikanth,https://fisher.osu.edu/people/srikanth.18,"technology, AI, software, networking, data"
Jeffrey Standley,https://fisher.osu.edu/people/standley.12,"AI, data"
Derik Staufenberg,https://fisher.osu.edu/people/staufenberg.3,"AI, data"
John Stinnett,https://fisher.osu.edu/people/stinnett.8,"AI, data"
Stephen Stuckwisch,https://fisher.osu.edu/people/stuckwisch.1,"AI, IoT, data"
René Stulz,https://fisher.osu.edu/people/stulz.1,"technology, AI, data"
Molly Tafrate,https://fisher.osu.edu/people/tafrate.1,"AI, data"
Ismael Talke,https://fisher.osu.edu/people/talke.1,"AI, predictive analytics, data"
Dean Taylor,https://fisher.osu.edu/people/taylor.821,"AI, data"
Ben Tepper,https://fisher.osu.edu/people/tepper.15,"AI, data"
Joseph Testa,https://fisher.osu.edu/people/testa.9,"AI, data"
David Thompson,https://fisher.osu.edu/people/thompson.2966,"AI, data"
Min Tian,https://fisher.osu.edu/people/tian.90,"AI, big data, data"
Jill Treece,https://fisher.osu.edu/people/treece.21,"AI, data"
David Trimm,https://fisher.osu.edu/people/trimm.7,"AI, data"
H. Rao Unnava,https://fisher.osu.edu/people/unnava.1,"AI, data"
Andrew Van Buskirk,https://fisher.osu.edu/people/vanbuskirk.54,"AI, data"
David Veech,https://fisher.osu.edu/people/veech.1,"AI, data"
Petra Vokata,https://fisher.osu.edu/people/vokata.1,"AI, data"
Lauren Von Sossan,https://fisher.osu.edu/people/vonsossan.7,"AI, data"
Jesse Walker,https://fisher.osu.edu/people/walker.2320,"AI, data"
David Wallin,https://fisher.osu.edu/people/wallin.1,"AI, data"
Xiang (Sean) Wan,https://fisher.osu.edu/people/wan.207,"technology, AI, machine learning, artificial intelligence, big data, blockchain, data"
Xue Wang,https://fisher.osu.edu/people/wang.4821,"AI, data"
Yongzhi (Alex) Wang,https://fisher.osu.edu/people/wang.2877,"AI, data"
Kathy Wantuch,https://fisher.osu.edu/people/wantuch.1,"AI, data"
Stephanie Wapner,https://fisher.osu.edu/people/wapner.4,"AI, data"
Ronnie Weiner,https://fisher.osu.edu/people/weiner.221,"AI, data"
Michael Weisbach,https://fisher.osu.edu/people/weisbach.2,"technology, AI, machine learning, IoT, data"
Jay Wellman,https://fisher.osu.edu/people/wellman.67,"AI, data"
Ingrid Werner,https://fisher.osu.edu/people/werner.47,"AI, data"
Royce West,https://fisher.osu.edu/people/west.47,"AI, networking, data"
Rob Whittington,https://fisher.osu.edu/people/whittington.82,"AI, data"
Steffanie Wilk,https://fisher.osu.edu/people/wilk.17,"AI, data"
David Williams,https://fisher.osu.edu/people/williams.77,"AI, data"
Andrea Wiltrout,https://fisher.osu.edu/people/wiltrout.8,"AI, data"
Michael Wittry,https://fisher.osu.edu/people/wittry.2,"AI, data"
Karen Wruck,https://fisher.osu.edu/people/wruck.1,"AI, data"
Yufeng Wu,https://fisher.osu.edu/people/wu.6251,"AI, data"
Chip York,https://fisher.osu.edu/people/york.9,"technology, AI, software, data"
Rick Young,https://fisher.osu.edu/people/young.53,"AI, data"
Tzachi Zach,https://fisher.osu.edu/people/zach.7,"AI, data"
Lu Zhang,https://fisher.osu.edu/people/zhang.1868,"AI, data"
Shaojun Zhang,https://fisher.osu.edu/people/zhang.7805,"AI, data"
Walter Zinn,https://fisher.osu.edu/people/zinn.13,"technology, AI, data"
Chad Zipfel,https://fisher.osu.edu/people/zipfel.4,"AI, data"
